"Study_ID";"Plot_ID";"Year";"Crop_species";"Lat";"Long"
"BIOMHE";"2";2020;"Triticale (87.5%), pea (12.5%)";6770041,942;333958,23
"BIOMHE";"3";2020;"Triticale (87.5%), pea (12.5%)";6770420,408;333977,978
"BIOMHE";"5";2020;"Winter wheat";6769663,865;334784,021
"BIOMHE";"6";2020;"Spring oat";6779351,748;369341,465
"BIOMHE";"7";2020;"Winter wheat";6767062,047;372651,423
"BIOMHE";"8";2020;"Winter wheat";6768877,771;374262,225
"BIOMHE";"9";2020;"Winter wheat";6764298,013;334654,819
"BIOMHE";"10";2020;"Winter wheat";6783500,251;371222,707
"BIOMHE";"11";2020;"Winter wheat";6783969,07;371435,021
"BIOMHE";"15";2020;"Triticale (73%), pea (27%)";6779016,345;371757,945
"BIOMHE";"17";2020;"Winter wheat";6776879,139;371312,178
"BIOMHE";"18";2020;"Winter wheat";6764886,784;334307,267
"BIOMHE";"21";2020;"Winter wheat";6781428,363;367827,845
"BIOMHE";"22";2020;"Winter wheat";6781375,844;368436,15
"BIOMHE";"23";2020;"Winter wheat";6779962,878;368561,946
"BIOMHE";"24";2020;"Winter wheat";6780285,844;364699,409
"BIOMHE";"25";2020;"Winter wheat";6780064,224;364661,657
"BIOMHE";"28";2020;"Winter wheat";6780810,423;367118,76
"BIOMHE";"30";2020;"Winter wheat";6776644,832;372766,135
"BIOMHE";"31";2020;"Winter wheat";6779471,082;369612,24
"BIOMHE";"33";2020;"Winter wheat";6771400,207;329237,838
"BIOMHE";"34";2020;"Winter wheat";6766995,571;327280,549
"BIOMHE";"36";2020;"Winter wheat";6788438,266;374344,556
"BIOMHE";"39";2020;"Winter wheat";6754516,465;348971,402
"BIOMHE";"42";2020;"Winter wheat";6770944,104;356087,502
"BIOMHE";"43";2020;"Winter wheat (78%), faba bean (21%)";6754965,309;347115,938
"BIOMHE";"44";2020;"Rye, linen";6757501,451;348732,405
"BIOMHE";"45";2020;"Winter wheat";6777238,063;327654,212
"BIOMHE";"47";2020;"Faba bean (55.5%), triticale (44.5%)";6773881,054;379421,673
"BIOMHE";"49";2020;"Triticale (50%), pea (35%), faba bean (15%)";6784937,664;375543,911
"BIOMHE";"50";2020;"Winter wheat";6788907,002;373653,067
"BIOMHE";"51";2020;"Winter wheat";6756878,081;348060,25
"BIOMHE";"54";2020;"Triticale (50%), pea (50%)";6769064,835;336148,183
"BIOMHE";"57";2020;"Pea (34%), oat (27%), faba bean (24%), triticale (15%)";6768034,24;339624,434
"BIOMHE";"58";2020;"Winter wheat";6768238,269;339417,04
"BIOMHE";"60";2020;"Triticale";6769136,017;374062,94
"BIOMHE";"99";2020;"Winter wheat";6772639,802;332336,101
"BIOMHE";"12";2020;"Winter wheat";6769704,062;333414,081
"BIOMHE";"16";2020;"Winter wheat";6777595,016;371301,911
"BIOMHE";"20";2020;"Winter wheat";6771350,366;356135,552
"DIVAG";"12AB-M";2019;"Triticale, pea, oat";6768300,34;368926,0915
"DIVAG";"14AB-M";2019;"Triticale, faba bean";6770830,13;356404,2176
"DIVAG";"15AB-M2";2019;"Spelt, faba bean";6757121,396;348788,0076
"DIVAG";"17AB-M";2019;"Winter wheat + ?";6764504,059;334241,0244
"DIVAG";"18AB-M1";2019;"Triticale, pea";6769787,156;334937,7394
"DIVAG";"18AB-M2";2019;"Triticale, pea";6769591,423;334108,5599
